Item,Value,Package,Manufacturer,Manufacturer_Part_Number,Qty_Universal57,Qty_SplitSpace,DNP_SplitSpace,Qty_SevenUnit,DNP_SevenUnit,References_Universal57,Notes
1,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,Texas Instruments,SN74LV4051APWR,8,8,,8,,AM1 AM2 AM3 AM4 AM5 AM6 AM7 AM8,"8:1 analog mux, TSSOP-16"
2,100n,C_0402_1005Metric,TORCH,CC0402X7R16V104KN,70,68,C109 C111,65,C97 C99 C101 C103 C107,C1 C3 C5 C7 C9 C11 C13 C15 C17 C19 C21 C23 C25 C27 C29 C31 C33 C35 C37 C39 C41 C43 C45 C47 C49 C51 C53 C55 C57 C59 C61 C63 C65 C67 C69 C71 C73 C75 C77 C79 C81 C83 C85 C87 C89 C91 C93 C95 C97 C99 C101 C103 C105 C107 C109 C111 C113 C139 C140 C141 C142 C143 C144 C145 C146 C154 C155 C156 C158 C160,"JLC/LCSC C53084507; X7R, 16 V, 10%; package C_0402_1005Metric; reconfirm stock before order"
3,4.7n,C_0402_1005Metric,Murata,GRM1555C1H472JE01D,57,55,C110 C112,52,C98 C100 C102 C104 C108,C2 C4 C6 C8 C10 C12 C14 C16 C18 C20 C22 C24 C26 C28 C30 C32 C34 C36 C38 C40 C42 C44 C46 C48 C50 C52 C54 C56 C58 C60 C62 C64 C66 C68 C70 C72 C74 C76 C78 C80 C82 C84 C86 C88 C90 C92 C94 C96 C98 C100 C102 C104 C106 C108 C110 C112 C114,"JLC/LCSC C1518204; C0G, 50 V, 5%; package C_0402_1005Metric; reconfirm stock before order"
4,2.2u,C_0603_1608Metric,Samsung Electro-Mechanics,CL10B225KP8NFNC,4,4,,4,,C148 C149 C150 C151,"JLC/LCSC C3905270; X7R, 10 V, 10%; package C_0603_1608Metric; reconfirm stock before order"
5,30p,C_0603_1608Metric,Samsung Electro-Mechanics,CL10C300JB8NNNC,2,2,,2,,C152 C153,"JLC/LCSC C22397; C0G, 50 V, 5%; package C_0603_1608Metric; reconfirm stock before order"
6,10u,C_0603_1608Metric,Yageo,CC0603MRX5R5BB106,1,1,,1,,C157,"JLC/LCSC C109454; X5R, 6.3 V, 20%; package C_0603_1608Metric; reconfirm stock before order"
7,1u,C_0603_1608Metric,Murata,GRM188R71A105KA61D,1,1,,1,,C159,"JLC/LCSC C97888; X7R, 10 V, 10%; package C_0603_1608Metric; reconfirm stock before order"
8,BSMD0805-050-24V,Fuse_0805_2012Metric,Approved equivalent,BSMD0805-050-24V,1,1,,1,,F1,"JLC/LCSC C910822; 0.5 A resettable fuse, 0805; reconfirm stock before order"
9,MT9102ET,MT9102ET / key-center footprint,NOVOSENSE / MagnTek,MT9102ET,57,55,HE55 HE56,52,HE49 HE50 HE51 HE52 HE54,HE1 HE2 HE3 HE4 HE5 HE6 HE7 HE8 HE9 HE10 HE11 HE12 HE13 HE14 HE15 HE16 HE17 HE18 HE19 HE20 HE21 HE22 HE23 HE24 HE25 HE26 HE27 HE28 HE29 HE30 HE31 HE32 HE33 HE34 HE35 HE36 HE37 HE38 HE39 HE40 HE41 HE42 HE43 HE44 HE45 HE46 HE47 HE48 HE49 HE50 HE51 HE52 HE53 HE54 HE55 HE56 HE57,Linear Hall-effect sensor; JLC/LCSC C5447698; verify polarity and switch magnet
10,Unified_Daughterboard_4P,MOLEX_781710004_MountingReliefs,Molex,781710004,1,1,,1,,J1,"JLC/LCSC C588524; Pico-EZmate 1.20 mm, 4 circuits; confirm mating cable and footprint drawing"
11,12k,R_0402_1005Metric,Yageo,RC0402FR-0712KL,2,2,,2,,R3 R4,"JLC/LCSC C114760; 1%, 1/16 W; package R_0402_1005Metric; reconfirm stock before order"
12,TS-1187A-B-A-B,SW_Push_1P1T_XKB_TS-1187A,XKB Industrial Precision,TS-1187A-B-A-B,2,2,,2,,SW1 SW2,"JLC/LCSC C318884; momentary tact switch; reconfirm stock before order"
13,USBLC6-2SC6,SOT-23-6,STMicroelectronics,USBLC6-2SC6,1,1,,1,,U1,"JLC/LCSC C7519; USB ESD protection; do not substitute a different manufacturer without review"
14,TLV75733PDBV,SOT-23-5,Texas Instruments,TLV75733PDBVR,1,1,,1,,U2,"JLC/LCSC C485517; 3.3 V LDO, SOT-23-5; reconfirm stock before order"
15,XC6206P332MR-G,SOT-23-3,Torex Semiconductor,XC6206P332MR-G,1,1,,1,,U3,"JLC/LCSC C5446; 3.3 V analog LDO, SOT-23-3; reconfirm stock before order"
16,AT32F405RCT7,LQFP-64_10x10mm_P0.5mm,Artery Technology,AT32F405RCT7,1,1,,1,,U4,"JLC/LCSC C47090415; 216 MHz MCU, LQFP-64; reconfirm stock before order"
17,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,Yangxing Tech,X322512MSB4SI,1,1,,1,,Y1,"JLC/LCSC C9002; 12 MHz, 20 pF crystal, 3.2 x 2.5 mm, 4 pad; reconfirm stock before order"
