mux,channel,sensor,firmware_index
AM1,0,HE1,0
AM1,1,HE2,1
AM1,2,HE3,2
AM1,3,NC,
AM1,4,NC,
AM1,5,NC,
AM1,6,NC,
AM1,7,NC,
AM2,0,HE10,9
AM2,1,HE9,8
AM2,2,HE8,7
AM2,3,HE11,10
AM2,4,HE4,3
AM2,5,HE7,6
AM2,6,HE5,4
AM2,7,HE6,5
AM3,0,HE22,21
AM3,1,HE21,20
AM3,2,HE20,19
AM3,3,HE23,22
AM3,4,HE16,15
AM3,5,HE19,18
AM3,6,HE17,16
AM3,7,HE18,17
AM4,0,HE34,33
AM4,1,HE33,32
AM4,2,HE32,31
AM4,3,HE35,34
AM4,4,HE28,27
AM4,5,HE31,30
AM4,6,HE29,28
AM4,7,HE30,29
AM5,0,HE27,26
AM5,1,HE26,25
AM5,2,HE25,24
AM5,3,NC,
AM5,4,HE12,11
AM5,5,HE15,14
AM5,6,HE13,12
AM5,7,HE14,13
AM6,0,HE46,45
AM6,1,HE45,44
AM6,2,HE44,43
AM6,3,HE47,46
AM6,4,HE40,39
AM6,5,HE43,42
AM6,6,HE41,40
AM6,7,HE42,41
AM7,0,HE24,23
AM7,1,HE54,53
AM7,2,HE48,47
AM7,3,NC,
AM7,4,HE36,35
AM7,5,HE39,38
AM7,6,HE37,36
AM7,7,HE38,37
AM8,0,HE57,56
AM8,1,HE52,51
AM8,2,HE51,50
AM8,3,HE53,52
AM8,4,HE55,54
AM8,5,HE56,55
AM8,6,HE49,48
AM8,7,HE50,49
