sensor,fn40_source_switch,firmware_index,x_mm,y_mm,rotation_deg,signal_net
HE1,SW1,0,38.1,38.1,0.0,HE1
HE2,SW2,1,66.675,38.1,0.0,HE2
HE3,SW3,2,85.725,38.1,0.0,HE3
HE4,SW4,3,104.775,38.1,0.0,HE4
HE5,SW5,4,133.35,38.1,0.0,HE5
HE6,SW6,5,152.4,38.1,0.0,HE6
HE7,SW7,6,171.45,38.1,0.0,HE7
HE8,SW8,7,200.025,38.1,0.0,HE8
HE9,SW9,8,219.075,38.1,0.0,HE9
HE10,SW10,9,238.125,38.1,0.0,HE10
HE11,SW11,10,266.7,38.1,0.0,HE11
HE12,SW12,11,42.8625,61.9125,0.0,HE12
HE13,SW13,12,66.675,61.9125,0.0,HE13
HE14,SW14,13,85.725,61.9125,0.0,HE14
HE15,SW15,14,104.775,61.9125,0.0,HE15
HE16,SW16,15,123.825,61.9125,0.0,HE16
HE17,SW17,16,142.875,61.9125,0.0,HE17
HE18,SW18,17,161.925,61.9125,0.0,HE18
HE19,SW19,18,180.975,61.9125,0.0,HE19
HE20,SW20,19,200.025,61.9125,0.0,HE20
HE21,SW21,20,219.075,61.9125,0.0,HE21
HE22,SW22,21,238.125,61.9125,0.0,HE22
HE23,SW23,22,261.9375,61.9125,0.0,HE23
HE24,SW24,23,45.2438,80.9625,-90.0,HE24
HE25,SW25,24,71.4375,80.9625,0.0,HE25
HE26,SW26,25,90.4875,80.9625,0.0,HE26
HE27,SW27,26,109.5375,80.9625,0.0,HE27
HE28,SW28,27,128.5875,80.9625,0.0,HE28
HE29,SW29,28,147.6375,80.9625,0.0,HE29
HE30,SW30,29,166.6875,80.9625,0.0,HE30
HE31,SW31,30,185.7375,80.9625,0.0,HE31
HE32,SW32,31,204.7875,80.9625,0.0,HE32
HE33,SW33,32,223.8375,80.9625,0.0,HE33
HE34,SW34,33,242.8875,80.9625,90.0,HE34
HE35,SW35,34,264.3188,80.9625,180.0,HE35
HE36,SW36,35,40.4813,100.0125,0.0,HE36
HE37,SW37,36,61.9125,100.0125,0.0,HE37
HE38,SW38,37,80.9625,100.0125,0.0,HE38
HE39,SW39,38,100.0125,100.0125,0.0,HE39
HE40,SW40,39,119.0625,100.0125,0.0,HE40
HE41,SW41,40,138.1125,100.0125,0.0,HE41
HE42,SW42,41,157.1625,100.0125,0.0,HE42
HE43,SW43,42,176.2125,100.0125,0.0,HE43
HE44,SW44,43,195.2625,100.0125,0.0,HE44
HE45,SW45,44,214.3125,100.0125,0.0,HE45
HE46,SW46,45,233.3625,100.0125,0.0,HE46
HE47,SW47,46,259.5563,100.0125,180.0,HE47
HE48,SW48,47,42.8625,119.0625,180.0,HE48
HE49,SW51,48,95.25,119.0625,0.0,HE49
HE50,SW52,49,130.9688,119.0625,0.0,HE50
HE51,SW54,50,178.5938,119.0625,0.0,HE51
HE52,SW55,51,209.55,119.0625,0.0,HE52
HE53,SW57,52,261.9375,119.0625,0.0,HE53
HE54,SW49,53,71.4375,119.0625,0.0,HE54
HE55,SW50,54,76.2,119.0625,180.0,HE55
HE56,SW53,55,152.4,119.0625,0.0,HE56
HE57,SW56,56,233.3625,119.0625,180.0,HE57
