Comment,Designator,Footprint,LCSC Part #
SN74LV4051A,"AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8",TSSOP-16_4.4x5mm_P0.65mm,C7793
100n,"C1,C3,C5,C7,C9,C11,C13,C15,C17,C19,C21,C23,C25,C27,C29,C31,C33,C35,C37,C39,C41,C43,C45,C47,C49,C51,C53,C55,C57,C59,C61,C63,C65,C67,C69,C71,C73,C75,C77,C79,C81,C83,C85,C87,C89,C91,C93,C95,C97,C99,C101,C103,C105,C107,C109,C111,C113,C139,C140,C141,C142,C143,C144,C145,C146,C154,C155,C156,C158,C160",C_0402_1005Metric,C1525
4.7n,"C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C22,C24,C26,C28,C30,C32,C34,C36,C38,C40,C42,C44,C46,C48,C50,C52,C54,C56,C58,C60,C62,C64,C66,C68,C70,C72,C74,C76,C78,C80,C82,C84,C86,C88,C90,C92,C94,C96,C98,C100,C102,C104,C106,C108,C110,C112,C114",C_0402_1005Metric,C1518204
2.2u,"C148,C149,C150,C151",C_0603_1608Metric,C86018
30p,"C152,C153",C_0603_1608Metric,C1658
10u,C157,C_0603_1608Metric,C109454
1u,C159,C_0603_1608Metric,C93816
BSMD0805-050-24V,F1,Fuse_0805_2012Metric,C910822
MT9102ET,"HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,HE25,HE26,HE27,HE28,HE29,HE30,HE31,HE32,HE33,HE34,HE35,HE36,HE37,HE38,HE39,HE40,HE41,HE42,HE43,HE44,HE45,HE46,HE47,HE48,HE49,HE50,HE51,HE52,HE53,HE54,HE55,HE56,HE57",MT9102ET / key-center footprint,C5447698
Unified_Daughterboard_4P,J1,MOLEX_781710004_MountingReliefs,C588524
12k,"R3,R4",R_0402_1005Metric,C25752
TS-1187A-B-A-B,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
USBLC6-2SC6,U1,SOT-23-6,C7519
TLV75733PDBV,U2,SOT-23-5,C485517
XC6206P332MR-G,U3,SOT-23-3,C5446
AT32F405RCT7,U4,LQFP-64_10x10mm_P0.5mm,C47090415
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
