Line#,Quantity,Reference Designator,Part Number,Part Description,Package,Type,Manufacturer Name,Manufacturer Part Number,Distributor Part Number
1,8,"AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8",SN74LV4051A,"SN74LV4051A - 8:1 analog mux, TSSOP-16",TSSOP-16,SMT,Texas Instruments,SN74LV4051APWR,LCSC C7793
2,70,"C1,C3,C5,C7,C9,C11,C13,C15,C17,C19,C21,C23,C25,C27,C29,C31,C33,C35,C37,C39,C41,C43,C45,C47,C49,C51,C53,C55,C57,C59,C61,C63,C65,C67,C69,C71,C73,C75,C77,C79,C81,C83,C85,C87,C89,C91,C93,C95,C97,C99,C101,C103,C105,C107,C109,C111,C113,C139,C140,C141,C142,C143,C144,C145,C146,C154,C155,C156,C158,C160",100n,"100n - X7R, 16 V, 10%",0402,SMT,Samsung Electro-Mechanics,CL05B104KO5NNNC,LCSC C1525
3,57,"C2,C4,C6,C8,C10,C12,C14,C16,C18,C20,C22,C24,C26,C28,C30,C32,C34,C36,C38,C40,C42,C44,C46,C48,C50,C52,C54,C56,C58,C60,C62,C64,C66,C68,C70,C72,C74,C76,C78,C80,C82,C84,C86,C88,C90,C92,C94,C96,C98,C100,C102,C104,C106,C108,C110,C112,C114",4.7n,"4.7n - C0G, 50 V, 5%",0402,SMT,Murata,GRM1555C1H472JE01D,LCSC C1518204
4,4,"C148,C149,C150,C151",2.2u,"2.2u - X7R, 10 V, 10%",0603,SMT,Murata,GRM188R71A225KE15D,LCSC C86018
5,2,"C152,C153",30p,"30p - C0G, 50 V, 5%",0603,SMT,FH (Guangdong Fenghua),0603CG300J500NT,LCSC C1658
6,1,C157,10u,"10u - X5R, 6.3 V, 20%",0603,SMT,Yageo,CC0603MRX5R5BB106,LCSC C109454
7,1,C159,1u,"1u - X7R, 16 V, 10%",0603,SMT,FH (Guangdong Fenghua),0603B105K160NT,LCSC C93816
8,1,F1,BSMD0805-050-24V,"BSMD0805-050-24V - 0.5 A resettable fuse, 0805",0805,SMT,BHFUSE,BSMD0805-050-24V,LCSC C910822
9,57,"HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,HE25,HE26,HE27,HE28,HE29,HE30,HE31,HE32,HE33,HE34,HE35,HE36,HE37,HE38,HE39,HE40,HE41,HE42,HE43,HE44,HE45,HE46,HE47,HE48,HE49,HE50,HE51,HE52,HE53,HE54,HE55,HE56,HE57",MT9102ET,MT9102ET - Linear Hall-effect sensor,SOT-23,SMT,NOVOSENSE,MT9102ET,LCSC C5447698
10,1,J1,Unified_Daughterboard_4P,"Unified_Daughterboard_4P - Pico-EZmate 1.20 mm, 4 circuits",Molex Pico-EZmate 1.20mm 4P (SMD),SMT,Molex,781710004,LCSC C588524
11,2,"R3,R4",12k,"12k - 1%, 1/16 W",0402,SMT,UNI-ROYAL,0402WGF1202TCE,LCSC C25752
12,2,"SW1,SW2",TS-1187A-B-A-B,TS-1187A-B-A-B - momentary tact switch,SMD-4P 5.1x5.1mm,SMT,XKB Industrial Precision,TS-1187A-B-A-B,LCSC C318884
13,1,U1,USBLC6-2SC6,USBLC6-2SC6 - USB ESD protection,SOT-23-6,SMT,STMicroelectronics,USBLC6-2SC6,LCSC C7519
14,1,U2,TLV75733PDBV,"TLV75733PDBV - 3.3 V LDO, SOT-23-5",SOT-23-5,SMT,Texas Instruments,TLV75733PDBVR,LCSC C485517
15,1,U3,XC6206P332MR-G,"XC6206P332MR-G - 3.3 V analog LDO, SOT-23-3",SOT-23-3,SMT,Torex Semiconductor,XC6206P332MR-G,LCSC C5446
16,1,U4,AT32F405RCT7,"AT32F405RCT7 - 216 MHz MCU, LQFP-64",LQFP-64 10x10mm P0.5mm,SMT,Artery Technology,AT32F405RCT7,LCSC C47090415
17,1,Y1,X322512MSB4SI,"X322512MSB4SI - 12 MHz, 20 pF crystal, 3.2 x 2.5 mm, 4 pad",SMD3225-4P,SMT,Yangxing Tech,X322512MSB4SI,LCSC C9002
