Designator,Mid X,Mid Y,Layer,Rotation
AM1,94.200000,-48.500000,Bottom,90.000000
AM2,188.400000,-48.525000,Bottom,-90.000000
AM3,190.000000,-71.500000,Bottom,-90.000000
AM4,210.000000,-90.500000,Bottom,-90.000000
AM5,87.700000,-71.500000,Bottom,-90.000000
AM6,127.200000,-109.500000,Bottom,-90.000000
AM7,67.200000,-109.500000,Bottom,-90.000000
AM8,112.200000,-109.500000,Bottom,-90.000000
C1,40.700000,-38.900000,Bottom,90.000000
C2,35.500000,-38.900000,Bottom,90.000000
C3,64.074999,-37.300000,Bottom,-90.000000
C4,69.274999,-37.300000,Bottom,90.000000
C5,83.125000,-37.300000,Bottom,-90.000000
C6,88.324999,-37.300000,Bottom,90.000000
C7,102.175000,-37.300000,Bottom,-90.000000
C8,107.375000,-37.300000,Bottom,90.000000
C9,130.750000,-37.300000,Bottom,-90.000000
C10,135.950000,-37.300000,Bottom,90.000000
C11,149.800000,-37.300000,Bottom,-90.000000
C12,155.000000,-37.300000,Bottom,90.000000
C13,168.850000,-37.300000,Bottom,-90.000000
C14,174.050000,-37.300000,Bottom,90.000000
C15,197.425000,-37.300000,Bottom,-90.000000
C16,202.625000,-37.300000,Bottom,90.000000
C17,216.475000,-37.300000,Bottom,-90.000000
C18,221.674999,-37.300000,Bottom,90.000000
C19,235.525000,-37.300000,Bottom,-90.000000
C20,240.725000,-37.300000,Bottom,90.000000
C21,264.100000,-37.300000,Bottom,-90.000000
C22,269.299999,-37.300000,Bottom,90.000000
C23,40.262499,-61.112500,Bottom,-90.000000
C24,45.462499,-61.112500,Bottom,90.000000
C25,64.075000,-61.112500,Bottom,-90.000000
C26,69.274999,-61.112500,Bottom,90.000000
C27,83.125000,-61.112500,Bottom,-90.000000
C28,88.325000,-61.112500,Bottom,90.000000
C29,102.174999,-61.112500,Bottom,-90.000000
C30,107.374999,-61.112500,Bottom,90.000000
C31,121.225000,-61.112500,Bottom,-90.000000
C32,126.425000,-61.112500,Bottom,90.000000
C33,140.275000,-61.112500,Bottom,-90.000000
C34,145.475000,-61.112500,Bottom,90.000000
C35,159.325000,-61.112500,Bottom,-90.000000
C36,164.525000,-61.112500,Bottom,90.000000
C37,178.375000,-61.112500,Bottom,-90.000000
C38,183.575000,-61.112500,Bottom,90.000000
C39,197.425000,-61.112500,Bottom,-90.000000
C40,202.625000,-61.112500,Bottom,90.000000
C41,216.475000,-61.112500,Bottom,-90.000000
C42,221.675000,-61.112500,Bottom,90.000000
C43,235.524999,-61.112500,Bottom,-90.000000
C44,240.725000,-61.112500,Bottom,90.000000
C45,259.337499,-61.112500,Bottom,-90.000000
C46,264.537500,-61.112500,Bottom,90.000000
C47,38.200000,-79.500000,Bottom,-90.000000
C48,42.200000,-78.000000,Bottom,0.000000
C49,68.837499,-80.162500,Bottom,-90.000000
C50,74.037500,-80.162500,Bottom,90.000000
C51,87.887500,-80.162500,Bottom,-90.000000
C52,93.087499,-80.162500,Bottom,90.000000
C53,106.937500,-80.162500,Bottom,-90.000000
C54,112.137499,-80.162500,Bottom,90.000000
C55,125.987500,-80.162500,Bottom,-90.000000
C56,131.187500,-80.162500,Bottom,90.000000
C57,145.037500,-80.162500,Bottom,-90.000000
C58,150.237499,-80.162500,Bottom,90.000000
C59,164.087499,-80.162500,Bottom,-90.000000
C60,169.287500,-80.162500,Bottom,90.000000
C61,183.137500,-80.162500,Bottom,-90.000000
C62,188.337500,-80.162500,Bottom,90.000000
C63,202.187500,-80.162500,Bottom,-90.000000
C64,207.387500,-80.162500,Bottom,90.000000
C65,221.237500,-80.162500,Bottom,-90.000000
C66,226.437500,-80.162500,Bottom,90.000000
C67,240.287500,-80.162500,Bottom,-90.000000
C68,245.487499,-80.162500,Bottom,90.000000
C69,261.718800,-80.162500,Bottom,-90.000000
C70,266.918800,-80.162500,Bottom,90.000000
C71,37.881300,-99.212500,Bottom,-90.000000
C72,50.700000,-102.500000,Bottom,180.000000
C73,59.312500,-99.212500,Bottom,-90.000000
C74,64.512499,-99.212500,Bottom,90.000000
C75,78.362500,-99.212500,Bottom,-90.000000
C76,83.562500,-99.212500,Bottom,90.000000
C77,97.412500,-99.212500,Bottom,-90.000000
C78,102.612500,-99.212500,Bottom,90.000000
C79,116.462500,-99.212500,Bottom,-90.000000
C80,121.662500,-99.212500,Bottom,90.000000
C81,135.512500,-99.212500,Bottom,-90.000000
C82,140.712500,-99.212500,Bottom,90.000000
C83,154.562500,-99.212500,Bottom,-90.000000
C84,159.762500,-99.212500,Bottom,90.000000
C85,173.612500,-99.212500,Bottom,-90.000000
C86,178.812500,-99.212500,Bottom,90.000000
C87,192.662500,-99.212500,Bottom,-90.000000
C88,197.862499,-99.212500,Bottom,90.000000
C89,211.712499,-99.212500,Bottom,-90.000000
C90,216.912500,-99.212500,Bottom,90.000000
C91,230.762500,-99.212500,Bottom,-90.000000
C92,235.962500,-99.212500,Bottom,90.000000
C93,256.556300,-98.412500,Bottom,180.000000
C94,262.556300,-98.412500,Bottom,0.000000
C95,44.671900,-120.662500,Bottom,0.000000
C96,38.671900,-120.662500,Bottom,180.000000
C97,98.250000,-120.662500,Bottom,0.000000
C98,92.250000,-120.662500,Bottom,180.000000
C99,133.968799,-120.662500,Bottom,0.000000
C100,127.968799,-120.662500,Bottom,180.000000
C101,181.593800,-120.662500,Bottom,0.000000
C102,175.593800,-120.662500,Bottom,180.000000
C103,212.550000,-120.662500,Bottom,0.000000
C104,206.550000,-120.662500,Bottom,180.000000
C105,266.128150,-120.662500,Bottom,0.000000
C106,260.128150,-120.662500,Bottom,180.000000
C107,68.437500,-117.462500,Bottom,180.000000
C108,71.700000,-116.500000,Bottom,0.000000
C109,79.200000,-120.662500,Bottom,0.000000
C110,73.200000,-120.662500,Bottom,180.000000
C111,155.400000,-120.662500,Bottom,0.000000
C112,149.400000,-120.662500,Bottom,180.000000
C113,236.362500,-120.662500,Bottom,0.000000
C114,230.362500,-120.662500,Bottom,180.000000
C139,98.000000,-45.637500,Bottom,0.000000
